loc,avg_line_len,cyclomatic,functions,danger_eval,danger_exec,danger_subprocess_shell,danger_broad_except,danger_mutable_default,danger_innerHTML,danger_document_write,danger_var_usage,label
17,94.15504997598329,8,7,0,0,1,1,1,0,0,0,1
307,62.192181968527045,1,2,0,0,1,1,0,0,0,0,1
371,84.98844377795233,18,13,0,1,1,0,0,0,0,0,1
362,62.26143981535026,9,4,0,0,0,0,0,0,0,0,0
188,104.74943663474598,20,8,0,1,1,0,0,0,0,0,1
287,49.31782814070929,20,11,0,0,0,1,0,0,0,0,1
45,105.53177210151469,0,0,0,0,0,0,0,0,0,1,0
88,57.018096711688266,0,0,0,0,0,0,0,1,0,0,1
278,92.91267979503492,6,14,1,0,1,1,1,0,0,0,1
355,52.428273441532184,2,7,0,0,0,0,0,0,0,0,0
295,107.63676264726689,11,6,1,1,1,0,0,0,0,0,1
76,44.66275076939834,0,0,0,0,0,0,0,1,1,1,1
190,41.93207591572833,0,0,0,0,0,0,0,1,0,0,1
61,35.28413193482611,6,25,1,0,0,0,1,0,0,0,1
275,45.14141199818132,0,0,0,0,0,0,0,1,1,0,1
398,84.0961798579808,0,0,0,0,0,0,0,0,0,0,0
6,115.38159275210802,0,0,0,0,0,0,0,1,0,0,1
332,70.76628819776343,0,0,0,0,0,0,0,0,0,0,0
311,52.41560570046731,1,3,0,0,0,0,0,0,0,0,0
48,93.19075948446277,3,24,0,0,1,0,1,0,0,0,1
140,72.7673787418254,20,13,0,0,1,0,0,0,0,0,1
229,109.96140846429455,0,0,1,0,0,0,0,0,0,0,1
178,22.103426000705888,18,7,0,0,0,1,1,0,0,0,1
122,26.74003281103075,2,10,0,0,0,1,0,0,0,0,1
281,33.231184872502496,19,18,1,0,0,0,0,0,0,0,1
54,85.8982749514663,12,13,1,1,1,0,1,0,0,0,1
36,60.26212821022688,11,25,0,0,0,0,1,0,0,0,1
76,62.18816398344042,0,0,0,0,0,0,0,0,0,0,0
286,29.790872820160033,0,0,0,0,0,0,0,0,0,0,0
253,68.13584179710395,0,0,1,0,0,0,0,0,0,1,1
204,46.520305817215196,15,9,1,1,0,0,0,0,0,0,1
34,77.91802908162562,18,1,0,0,0,1,0,0,0,0,1
34,116.07789032744503,3,5,0,0,1,0,0,0,0,0,1
296,44.62153477886248,20,1,0,1,1,1,1,0,0,0,1
138,40.425919942353644,0,0,0,0,0,0,0,0,0,1,0
348,84.55007888376495,15,10,0,0,0,1,1,0,0,0,1
42,73.76344041016273,17,8,0,0,0,0,0,0,0,0,1
85,63.81845730077099,0,0,0,0,0,0,0,1,1,0,1
344,30.358650191821148,0,0,0,0,0,0,0,0,0,0,0
144,48.17562714578943,7,22,0,0,1,1,0,0,0,0,1
133,110.53364910793232,0,0,0,0,0,0,0,0,1,1,1
27,20.35456890877823,0,0,0,0,0,0,0,1,0,0,1
287,90.56674467599908,0,0,0,0,0,0,0,0,0,0,0
194,78.25095664897941,5,13,0,0,0,0,0,0,0,0,0
112,88.20666883105766,0,0,0,0,0,0,0,0,1,1,1
126,106.4605696219964,6,13,0,0,1,0,0,0,0,0,1
141,35.919784298073125,4,12,0,1,0,0,0,0,0,0,1
161,102.0536380971562,0,0,0,0,0,0,0,0,0,0,0
173,47.86030610230039,0,0,0,0,0,0,0,0,0,1,0
19,31.534175185142757,0,0,0,0,0,0,0,0,1,1,1
60,79.65712549877446,12,23,0,1,1,1,0,0,0,0,1
300,39.0078774502296,0,0,0,0,0,0,0,1,0,0,1
191,63.12973996249869,11,19,0,0,1,0,1,0,0,0,1
346,60.83929086192168,0,0,1,0,0,0,0,1,0,0,1
220,86.49294342127715,13,21,0,0,0,1,0,0,0,0,1
151,41.01826848826419,0,0,0,0,0,0,0,0,0,1,0
266,67.31861859093263,6,21,0,0,1,1,1,0,0,0,1
52,101.84234645366642,0,0,0,0,0,0,0,1,0,0,1
80,22.442538772682635,8,15,0,1,0,1,1,0,0,0,1
372,89.6354250490505,16,12,0,0,1,1,0,0,0,0,1
222,41.88411368123194,17,14,0,0,0,0,0,0,0,0,1
346,73.11318858555887,0,0,0,0,0,0,0,0,1,1,1
86,94.3655442159585,0,0,1,0,0,0,0,0,0,0,1
397,97.76748353339717,0,0,1,0,0,0,0,1,0,1,1
44,91.35448626110565,0,0,0,0,0,0,0,0,0,1,0
75,35.08306580130866,13,22,0,0,0,0,0,0,0,0,1
282,66.59243033511507,0,0,0,0,0,0,0,0,0,1,0
396,77.56903468100802,16,0,0,0,0,0,1,0,0,0,1
254,41.94216346214361,14,15,0,1,0,1,1,0,0,0,1
375,36.50447312035088,0,0,1,0,0,0,0,0,1,0,1
308,76.43919830247741,0,0,0,0,0,0,0,0,1,1,1
241,38.172902651343215,9,12,0,0,0,0,0,0,0,0,0
147,95.20098235547849,0,0,1,0,0,0,0,0,0,1,1
388,73.94190479225337,12,7,0,0,0,0,0,0,0,0,1
323,35.23823457847904,5,15,0,0,0,1,0,0,0,0,1
90,80.58926925603113,0,0,0,0,0,0,0,0,0,0,0
164,77.5796728412414,13,12,0,0,1,1,1,0,0,0,1
57,89.71930024957722,10,21,0,0,0,1,0,0,0,0,1
40,70.5960789677078,0,0,0,0,0,0,0,0,0,1,0
226,116.07875672145786,15,22,0,1,0,1,1,0,0,0,1
320,100.8199218806756,0,0,1,0,0,0,0,0,0,1,1
130,103.07310188906034,0,0,0,0,0,0,0,0,0,0,0
296,81.03317042305207,0,0,1,0,0,0,0,0,0,1,1
98,68.75499323913444,0,0,0,0,0,0,0,0,0,1,0
289,21.01511144386771,0,0,0,0,0,0,0,0,0,1,0
289,95.81646534824664,0,0,1,0,0,0,0,1,1,1,1
13,29.305335055467168,0,0,0,0,0,0,0,0,1,0,1
344,78.15555853323671,0,0,1,0,0,0,0,1,1,1,1
386,75.03884727566785,0,0,0,0,0,0,0,1,0,1,1
133,43.053804129850775,0,0,0,0,0,0,0,0,0,0,0
115,93.86046535089507,9,23,0,0,0,0,0,0,0,0,0
96,50.226758878043555,0,0,0,0,0,0,0,0,0,0,0
362,114.40896147957406,0,0,1,0,0,0,0,0,0,1,1
250,64.04687981360102,0,0,0,0,0,0,0,0,0,1,0
38,60.07074422519398,3,18,0,0,0,1,0,0,0,0,1
132,31.84515622114616,14,19,0,1,0,0,0,0,0,0,1
161,76.86294706242332,0,0,0,0,0,0,0,1,1,0,1
325,41.1025195305393,3,5,0,0,1,0,0,0,0,0,1
214,65.05037046177024,20,15,0,0,0,0,1,0,0,0,1
364,105.96067313405224,0,0,0,0,0,0,0,1,0,1,1
222,31.477630246104574,8,20,0,0,0,0,0,0,0,0,0
162,79.50440373194047,19,9,1,0,0,1,0,0,0,0,1
144,70.04721771179256,0,0,1,0,0,0,0,0,0,0,1
381,52.23215833582999,0,0,0,0,0,0,0,0,0,0,0
396,87.22815843032393,9,18,0,0,0,1,1,0,0,0,1
147,38.1489147223126,0,0,1,0,0,0,0,1,0,0,1
183,60.83480934300153,0,0,0,0,0,0,0,1,0,0,1
215,89.36736739834325,0,0,0,0,0,0,0,1,0,0,1
50,51.451715717016796,0,0,0,0,0,0,0,0,0,0,0
216,25.420408537672863,0,0,0,0,0,0,0,1,0,1,1
109,46.705623827293245,5,9,1,1,0,0,1,0,0,0,1
368,35.837816380523236,18,0,1,0,0,0,0,0,0,0,1
336,103.21431737689012,16,22,0,0,0,0,0,0,0,0,1
238,75.12650768804696,13,6,0,0,0,0,0,0,0,0,1
6,48.28389832828266,0,0,0,0,0,0,0,1,1,1,1
233,73.85805777038738,12,10,1,1,0,0,1,0,0,0,1
297,58.29708489296022,14,1,0,1,1,0,0,0,0,0,1
258,116.48244383709104,5,16,0,0,0,0,1,0,0,0,1
12,92.24438275706426,0,0,1,0,0,0,0,1,0,0,1
140,53.856123405143165,0,0,1,0,0,0,0,1,0,1,1
167,82.67991790079878,0,0,1,0,0,0,0,1,0,0,1
328,88.43995744059167,10,7,0,1,0,1,1,0,0,0,1
232,36.63647867292252,10,0,0,0,0,0,0,0,0,0,0
225,34.55697956993984,0,0,1,0,0,0,0,1,1,0,1
94,27.89683506599946,13,19,0,1,1,0,0,0,0,0,1
331,45.39773394135423,0,0,0,0,0,0,0,1,0,1,1
351,74.65981376020284,0,0,0,0,0,0,0,0,0,1,0
358,45.00982244077012,0,0,0,0,0,0,0,0,0,1,0
126,58.136429765762905,12,18,0,0,0,1,0,0,0,0,1
9,76.5929016955699,0,0,0,0,0,0,0,1,1,1,1
122,80.7064998164266,0,0,0,0,0,0,0,0,1,0,1
352,95.55773237416771,0,0,0,0,0,0,0,1,0,0,1
230,23.336453124563242,0,0,0,0,0,0,0,1,0,0,1
172,94.74808649383715,0,0,0,0,0,0,0,0,0,1,0
89,45.69700845632623,0,0,1,0,0,0,0,0,1,1,1
244,116.28932928688776,5,24,0,1,1,0,0,0,0,0,1
12,46.44585783524238,0,0,0,0,0,0,0,0,0,1,0
331,114.02918917795542,0,0,0,0,0,0,0,1,0,1,1
322,108.42348452148522,18,10,0,0,1,0,1,0,0,0,1
337,60.82958557954127,0,0,0,0,0,0,0,0,0,1,0
64,29.71919986218216,0,0,0,0,0,0,0,0,0,1,0
305,94.22690147653158,0,0,0,0,0,0,0,0,1,0,1
320,60.81158856977005,0,0,0,0,0,0,0,0,1,1,1
232,64.46958597790834,8,11,0,0,1,1,0,0,0,0,1
208,47.588144086158685,4,14,0,0,1,1,1,0,0,0,1
30,98.67945904546167,8,4,0,0,1,0,1,0,0,0,1
124,52.855955343223044,5,25,0,0,0,0,1,0,0,0,1
94,30.992634788943555,0,0,0,0,0,0,0,0,0,1,0
306,52.37714619620225,6,8,0,0,1,0,1,0,0,0,1
386,26.355803814713624,15,24,0,0,0,1,0,0,0,0,1
377,98.32269959803796,17,9,1,0,0,0,0,0,0,0,1
